,Country,Company
0,United States,20
1,France,5
2,South Africa,4
3,China,4
4,India,4
5,South Korea,3
6,United Kingdom,3
7,Canada,3
8,Australia,3
9,Japan,3
10,Taiwan,2
11,Philippines,2
12,Netherlands,2
13,Russia,2
14,Turkey,2
15,Germany,2
16,Brazil,2
17,United Arab Emirates,2
18,Singapore,1
19,Thailand,1
20,Spain,1
21,Sweden,1
22,Switzerland,1
23,Saudi Arabia,1
24,Argentina,1
25,Romania,1
26,Qatar,1
27,Norway,1
28,Mexico,1
29,Malaysia,1
30,Luxembourg,1
31,Kuwait,1
32,Italy,1
33,Ireland,1
34,Indonesia,1
35,Greece,1
36,Belgium,1
37,Austria,1
38,Vietnam,1
